type,name,url
emote,:|,https://static-cdn.jtvnw.net/emoticons/v2/555555568/static/dark/3.0
emote,:-|,https://static-cdn.jtvnw.net/emoticons/v2/555555568/static/dark/3.0
emote,:z,https://static-cdn.jtvnw.net/emoticons/v2/555555568/static/dark/3.0
emote,:-z,https://static-cdn.jtvnw.net/emoticons/v2/555555568/static/dark/3.0
emote,:Z,https://static-cdn.jtvnw.net/emoticons/v2/555555568/static/dark/3.0
emote,:-Z,https://static-cdn.jtvnw.net/emoticons/v2/555555568/static/dark/3.0
emote,O_o,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,O.o,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,O_O,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,O.O,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,o_O,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,o.O,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,o_o,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,o.o,https://static-cdn.jtvnw.net/emoticons/v2/555555576/static/dark/3.0
emote,B),https://static-cdn.jtvnw.net/emoticons/v2/555555577/static/dark/3.0
emote,B-),https://static-cdn.jtvnw.net/emoticons/v2/555555578/static/dark/3.0
emote,8-),https://static-cdn.jtvnw.net/emoticons/v2/555555579/static/dark/3.0
emote,:O,https://static-cdn.jtvnw.net/emoticons/v2/555555580/static/dark/3.0
emote,:-O,https://static-cdn.jtvnw.net/emoticons/v2/555555581/static/dark/3.0
emote,:o,https://static-cdn.jtvnw.net/emoticons/v2/555555582/static/dark/3.0
emote,:-o,https://static-cdn.jtvnw.net/emoticons/v2/555555583/static/dark/3.0
emote,<3,https://static-cdn.jtvnw.net/emoticons/v2/555555584/static/dark/3.0
emote,:/,https://static-cdn.jtvnw.net/emoticons/v2/555555585/static/dark/3.0
emote,:-/,https://static-cdn.jtvnw.net/emoticons/v2/555555586/static/dark/3.0
emote,:\,https://static-cdn.jtvnw.net/emoticons/v2/555555587/static/dark/3.0
emote,:-\,https://static-cdn.jtvnw.net/emoticons/v2/555555588/static/dark/3.0
emote,;),https://static-cdn.jtvnw.net/emoticons/v2/555555589/static/dark/3.0
emote,;-),https://static-cdn.jtvnw.net/emoticons/v2/555555590/static/dark/3.0
emote,:P,https://static-cdn.jtvnw.net/emoticons/v2/555555591/static/dark/3.0
emote,:-P,https://static-cdn.jtvnw.net/emoticons/v2/555555592/static/dark/3.0
emote,:p,https://static-cdn.jtvnw.net/emoticons/v2/555555593/static/dark/3.0
emote,:-p,https://static-cdn.jtvnw.net/emoticons/v2/555555596/static/dark/3.0
emote,;P,https://static-cdn.jtvnw.net/emoticons/v2/555555595/static/dark/3.0
emote,;-P,https://static-cdn.jtvnw.net/emoticons/v2/555555596/static/dark/3.0
emote,;p,https://static-cdn.jtvnw.net/emoticons/v2/555555597/static/dark/3.0
emote,;-p,https://static-cdn.jtvnw.net/emoticons/v2/555555598/static/dark/3.0
